Time,Open,High,Low,Close,Volume
"Aug 2, 2018",116.00,116.00,111.00,112.04,244000
"Aug 3, 2018",114.00,116.00,111.00,112.00,379000
"Aug 6, 2018",113.00,117.60,113.00,116.08,311500
"Aug 7, 2018",116.45,121.88,116.00,119.48,175500
"Aug 8, 2018",119.89,120.00,119.74,119.74,7000
"Aug 9, 2018",118.60,122.30,117.00,120.40,90500
"Aug 10, 2018",120.98,123.00,116.38,117.51,48000
"Aug 13, 2018",117.00,119.88,115.00,116.14,125500
"Aug 15, 2018",117.99,119.50,115.00,116.01,94500
"Aug 16, 2018",114.60,117.17,113.01,116.50,65500
"Aug 17, 2018",116.01,117.50,115.50,115.94,92000
"Aug 20, 2018",114.51,116.50,114.10,115.74,11500
"Aug 24, 2018",117.40,117.40,116.00,116.95,35000
"Aug 27, 2018",117.50,118.10,116.65,117.65,16500
"Aug 28, 2018",115.50,115.50,113.00,113.48,197500
"Aug 29, 2018",110.00,113.00,110.00,112.52,57000
"Aug 30, 2018",116.89,116.89,111.00,113.24,40000
"Aug 31, 2018",113.99,113.99,111.00,112.26,33000
"Sep 3, 2018",110.05,113.79,109.97,112.06,47000
"Sep 4, 2018",114.69,116.50,113.00,113.39,25000
"Sep 5, 2018",114.00,114.00,112.00,113.43,73500
"Sep 6, 2018",115.90,115.90,111.20,111.26,57000
"Sep 7, 2018",110.80,111.50,108.06,108.06,11000
"Sep 10, 2018",106.05,107.89,104.01,107.33,43000
"Sep 11, 2018",107.01,111.00,107.00,109.55,163500
"Sep 12, 2018",108.01,115.02,104.63,112.18,447000
"Sep 13, 2018",114.01,117.78,114.00,117.61,164500
"Sep 14, 2018",119.95,120.00,113.20,116.37,215000
"Sep 17, 2018",116.37,122.18,112.19,120.32,111500
"Sep 18, 2018",117.10,124.24,117.10,121.08,154000
"Sep 19, 2018",120.00,124.00,118.86,121.68,73500
"Sep 24, 2018",121.00,126.00,120.00,122.68,76000
"Sep 25, 2018",122.60,124.00,120.00,122.81,96000
"Sep 26, 2018",120.50,122.90,120.00,121.74,74000
"Sep 27, 2018",120.01,121.00,117.50,120.07,98500
"Sep 28, 2018",120.69,121.80,118.75,120.39,50500
"Oct 1, 2018",121.50,122.80,121.50,122.52,13500
"Oct 2, 2018",122.00,122.00,120.51,120.68,4500
"Oct 4, 2018",118.90,123.00,116.15,120.60,68000
"Oct 5, 2018",118.00,119.50,115.25,117.57,513500
"Oct 8, 2018",115.00,123.00,111.70,119.04,363500
"Oct 9, 2018",121.00,122.05,119.00,120.52,556000
"Oct 10, 2018",121.00,122.00,118.63,121.48,56000
"Oct 11, 2018",121.50,121.50,115.41,115.82,134000
"Oct 12, 2018",114.01,116.00,113.11,115.93,79000
"Oct 15, 2018",112.16,114.00,110.14,110.74,499500
"Oct 16, 2018",110.35,113.00,108.00,108.24,76500
"Oct 17, 2018",110.00,111.50,108.00,111.10,268500
"Oct 18, 2018",110.99,113.00,109.00,111.42,240000
"Oct 19, 2018",111.89,113.00,110.50,112.09,91500
"Oct 22, 2018",110.03,112.34,110.00,111.99,104000
"Oct 23, 2018",108.75,108.75,107.99,108.02,591000
"Oct 24, 2018",111.90,113.00,110.50,112.97,136500
"Oct 25, 2018",111.05,115.50,111.02,114.24,21000
"Oct 26, 2018",112.01,117.67,110.00,114.69,233000
"Oct 29, 2018",115.00,119.00,112.01,118.63,457000
"Oct 30, 2018",116.01,118.97,114.01,117.74,53000
"Oct 31, 2018",115.00,119.70,115.00,117.66,48500
"Nov 1, 2018",121.00,121.00,116.20,116.93,34500
"Nov 2, 2018",116.01,116.01,114.01,115.11,73000
"Nov 6, 2018",115.00,115.90,113.50,114.16,49500
"Nov 7, 2018",114.01,116.00,114.00,115.01,8000
"Nov 8, 2018",115.00,115.50,114.00,115.09,12500
"Nov 9, 2018",114.99,114.99,113.00,113.00,6000
"Nov 12, 2018",115.90,115.90,112.00,112.04,14500
"Nov 14, 2018",109.00,111.05,109.00,111.05,3000
"Nov 15, 2018",110.16,112.00,110.00,111.35,10500
"Nov 16, 2018",111.00,113.00,110.50,112.35,8500
"Nov 19, 2018",114.00,116.00,113.50,113.75,19500
"Nov 20, 2018",111.50,113.89,111.25,111.61,18000
"Nov 22, 2018",111.00,111.00,110.15,110.37,18000
"Nov 23, 2018",109.02,114.69,109.00,110.94,74000
"Nov 26, 2018",109.10,109.98,108.50,108.98,13500
"Nov 27, 2018",111.50,112.95,111.50,112.39,111000
"Nov 28, 2018",110.11,115.44,110.11,114.14,34000
"Nov 29, 2018",115.50,115.50,110.51,113.25,16500
"Nov 30, 2018",115.00,118.50,115.00,117.47,153000
"Dec 3, 2018",113.50,115.00,113.00,115.00,10000
"Dec 4, 2018",116.40,116.40,113.00,114.98,8500
"Dec 5, 2018",115.00,116.00,114.99,114.99,6500
"Dec 6, 2018",112.00,112.77,109.25,110.38,643500
"Dec 7, 2018",108.01,112.89,106.05,111.20,35500
"Dec 10, 2018",112.99,114.90,112.99,114.24,39500
"Dec 11, 2018",112.06,114.00,110.30,113.00,38500
"Dec 12, 2018",114.00,115.50,110.40,111.50,69000
"Dec 13, 2018",110.00,110.10,108.00,108.11,175000
"Dec 14, 2018",105.70,112.00,105.70,111.03,46500
"Dec 17, 2018",108.90,111.90,108.90,110.66,26000
"Dec 18, 2018",110.00,111.90,109.00,109.64,11500
"Dec 19, 2018",105.20,107.00,105.00,106.00,503500
"Dec 20, 2018",106.00,108.00,106.00,106.01,6000
"Dec 21, 2018",103.01,108.41,103.01,106.68,28000
"Dec 24, 2018",106.00,110.00,106.00,109.60,126500
"Dec 26, 2018",108.74,112.00,107.00,108.14,87000
"Dec 27, 2018",110.49,110.49,107.00,108.61,400000
"Dec 28, 2018",109.99,113.00,103.18,106.37,449000
"Dec 31, 2018",105.88,110.50,105.75,109.87,408500
