Time,Open,High,Low,Close,Volume
"May 23, 2018",61.65,62.75,60.61,62.34,98500
"May 24, 2018",63.15,65.45,62.50,63.52,440000
"May 25, 2018",63.06,64.00,62.90,63.13,24500
"May 28, 2018",64.93,65.00,63.11,63.32,160000
"May 29, 2018",63.60,64.55,62.37,63.00,228500
"May 30, 2018",64.00,65.65,64.00,65.12,531500
"May 31, 2018",65.70,65.89,64.21,64.41,207500
"Jun 1, 2018",64.79,64.79,63.50,64.03,37000
"Jun 4, 2018",64.00,65.88,64.00,65.43,262000
"Jun 5, 2018",65.49,65.94,64.00,64.96,194500
"Jun 6, 2018",65.20,66.64,62.00,62.56,530500
"Jun 7, 2018",62.26,62.65,60.71,61.17,230500
"Jun 11, 2018",61.00,62.85,61.00,61.09,195500
"Jun 12, 2018",60.80,61.40,59.10,60.66,175500
"Jun 13, 2018",61.00,63.69,60.75,63.63,452000
"Jun 14, 2018",63.25,65.50,62.80,63.27,206000
"Jun 19, 2018",64.00,64.90,63.10,63.70,112500
"Jun 20, 2018",63.25,63.85,62.50,62.96,70000
"Jun 21, 2018",62.39,62.64,61.50,61.74,541500
"Jun 22, 2018",62.74,62.74,59.30,59.72,586000
"Jun 25, 2018",59.80,59.80,56.74,56.78,212000
"Jun 26, 2018",56.74,59.61,56.74,58.94,214000
"Jun 27, 2018",60.01,61.88,60.00,61.88,156500
"Jun 28, 2018",60.50,64.93,60.50,64.62,621500
"Jun 29, 2018",65.00,67.85,63.65,66.24,1170000
"Jul 2, 2018",67.49,68.89,66.10,68.36,405000
"Jul 3, 2018",68.50,69.38,66.51,67.24,106500
"Jul 4, 2018",66.50,67.48,63.88,67.02,459500
"Jul 5, 2018",66.99,68.50,65.30,68.10,262500
"Jul 6, 2018",68.00,68.43,67.05,67.97,86000
"Jul 9, 2018",68.90,68.90,64.58,64.65,126500
"Jul 10, 2018",63.27,64.85,61.50,63.97,126000
"Jul 11, 2018",65.73,67.00,63.70,66.55,229500
"Jul 12, 2018",66.55,68.40,65.00,67.61,113500
"Jul 13, 2018",67.49,69.60,67.30,69.02,278000
"Jul 16, 2018",69.50,71.50,68.80,71.00,191000
"Jul 17, 2018",71.00,74.55,71.00,74.55,842500
"Jul 18, 2018",78.25,78.27,76.25,78.27,830000
"Jul 19, 2018",79.69,81.49,74.36,74.63,995000
"Jul 20, 2018",72.05,73.49,70.90,70.90,1553000
"Jul 23, 2018",69.00,69.50,67.36,67.36,521500
"Jul 24, 2018",66.00,70.49,66.00,69.55,316500
"Jul 26, 2018",70.95,73.02,67.00,73.02,778000
"Jul 27, 2018",74.45,76.67,73.17,76.56,1168000
"Jul 30, 2018",76.25,77.75,72.74,72.85,626500
"Jul 31, 2018",71.00,76.49,69.55,75.29,860000
"Aug 1, 2018",76.20,79.05,76.00,79.05,571500
"Aug 2, 2018",81.95,82.00,76.70,79.82,438000
"Aug 3, 2018",77.55,81.75,77.50,78.45,221000
"Aug 6, 2018",78.45,80.72,78.00,78.46,174500
"Aug 7, 2018",79.00,82.38,79.00,82.30,1260500
"Aug 8, 2018",83.89,84.35,80.15,80.88,282500
"Aug 9, 2018",81.95,83.39,81.00,82.22,873000
"Aug 10, 2018",83.05,84.90,81.50,83.32,327500
"Aug 13, 2018",83.50,83.95,80.21,81.22,335500
"Aug 15, 2018",82.39,84.06,79.00,80.31,456000
"Aug 16, 2018",81.00,81.45,78.05,78.99,321500
"Aug 17, 2018",79.50,81.50,79.50,80.55,52500
"Aug 20, 2018",80.55,80.55,78.40,78.81,27500
"Aug 24, 2018",79.00,79.99,77.00,78.02,30000
"Aug 27, 2018",78.25,80.10,78.25,79.59,66000
"Aug 28, 2018",79.40,80.00,77.00,78.54,102000
"Aug 29, 2018",78.50,80.03,76.00,77.12,134500
"Aug 30, 2018",76.50,80.25,75.40,79.39,104000
"Aug 31, 2018",79.41,80.90,78.50,78.54,52000
"Sep 3, 2018",75.58,80.10,75.30,79.85,62000
"Sep 4, 2018",80.95,83.84,80.06,83.84,525500
"Sep 5, 2018",84.25,84.90,81.50,84.07,347000
"Sep 6, 2018",84.07,85.01,82.00,84.28,102500
"Sep 7, 2018",84.00,85.75,81.20,84.20,181500
"Sep 10, 2018",85.00,85.00,82.04,83.48,142500
"Sep 11, 2018",83.60,85.00,83.51,83.93,82500
"Sep 12, 2018",83.93,83.93,80.61,81.98,16500
"Sep 13, 2018",81.50,84.80,81.50,84.45,181000
"Sep 14, 2018",86.00,87.00,85.00,85.18,127000
"Sep 17, 2018",86.49,88.75,82.80,85.39,1121000
"Sep 18, 2018",85.88,88.38,85.00,87.02,539500
"Sep 19, 2018",85.35,87.01,85.35,85.99,149500
"Sep 24, 2018",86.40,87.25,84.01,86.30,95000
"Sep 25, 2018",87.90,88.40,86.00,86.26,67000
"Sep 26, 2018",86.00,86.25,81.95,82.50,853500
"Sep 27, 2018",81.00,81.00,79.27,79.98,160000
"Sep 28, 2018",77.16,83.25,77.16,82.96,391500
"Oct 1, 2018",82.50,82.50,81.25,81.25,23500
"Oct 2, 2018",81.00,81.50,78.00,78.91,73000
"Oct 3, 2018",79.00,79.00,77.23,78.23,220000
"Oct 4, 2018",78.00,78.00,75.00,75.16,136500
"Oct 5, 2018",73.52,73.52,71.41,71.41,448500
"Oct 8, 2018",70.00,71.50,68.00,69.55,107500
"Oct 9, 2018",72.70,73.02,72.00,73.02,712500
"Oct 10, 2018",74.40,76.67,74.40,76.67,1366000
"Oct 11, 2018",77.48,80.50,76.00,80.49,1016500
"Oct 12, 2018",82.00,83.00,76.47,80.78,1263000
"Oct 15, 2018",79.00,80.70,78.50,79.98,84500
"Oct 16, 2018",80.95,81.50,79.02,80.54,479500
"Oct 17, 2018",80.87,83.10,80.87,82.65,207500
"Oct 18, 2018",82.50,85.71,82.50,84.41,154500
"Oct 19, 2018",85.99,88.63,84.25,88.61,307000
"Oct 22, 2018",89.79,91.00,87.00,88.48,104000
"Oct 23, 2018",85.75,86.00,84.06,84.06,137000
"Oct 24, 2018",86.74,88.26,84.00,87.84,233000
"Oct 25, 2018",88.99,92.20,87.90,91.03,169000
"Oct 26, 2018",91.00,94.50,91.00,93.57,119000
"Oct 26, 2018",91.00,94.50,91.00,93.57,119000
"Oct 29, 2018",94.00,97.00,92.01,94.78,322000
"Oct 30, 2018",93.60,96.00,90.05,90.05,95500
"Oct 31, 2018",85.55,85.55,85.55,85.55,25000
"Nov 1, 2018",81.28,86.99,81.28,85.15,1228500
"Nov 2, 2018",84.80,89.40,84.00,88.35,173000
"Nov 5, 2018",88.90,90.40,86.40,89.66,303500
"Nov 6, 2018",89.10,90.00,85.18,89.80,264500
"Nov 7, 2018",91.00,91.50,88.00,89.21,128000
"Nov 8, 2018",87.10,89.50,85.55,88.78,135500
"Nov 9, 2018",87.03,88.50,85.99,87.67,494000
"Nov 12, 2018",86.31,90.10,86.30,89.42,87000
"Nov 13, 2018",88.02,91.99,88.02,91.42,49500
"Nov 14, 2018",91.50,92.84,91.50,91.61,90000
"Nov 15, 2018",91.20,93.30,90.71,91.89,46500
"Nov 16, 2018",91.98,96.48,91.98,96.43,315000
"Nov 19, 2018",97.50,101.00,97.50,100.37,227500
"Nov 20, 2018",103.88,104.00,98.00,99.67,335500
"Nov 22, 2018",98.00,102.80,96.00,99.93,231000
"Nov 23, 2018",101.99,102.00,94.94,96.19,2598500
"Nov 26, 2018",93.06,97.10,91.39,91.58,980000
"Nov 27, 2018",91.69,91.69,87.01,87.04,122000
"Nov 28, 2018",87.98,89.75,84.99,86.25,442000
"Nov 29, 2018",86.00,88.65,85.90,87.92,319000
"Nov 30, 2018",88.90,90.51,85.00,87.22,582000
"Dec 3, 2018",84.50,84.61,82.86,82.86,92000
